data: {"type": "status", "status": "completed"}


data: {"type": "result", "content": ")."}


data: {"type": "result", "content": "abase"}


data: {"type": "result", "content": "\u0438 Dat"}


data: {"type": "result", "content": "IMAP "}


data: {"type": "result", "content": "LLM, "}


data: {"type": "result", "content": "ocal "}


data: {"type": "result", "content": "\u0432\u0438\u044f L"}


data: {"type": "result", "content": "\u0434\u0435\u0439\u0441\u0442"}


data: {"type": "result", "content": "\u0437\u0430\u0438\u043c\u043e"}


data: {"type": "result", "content": "\u0435\u043c\u0430 \u0432"}


data: {"type": "result", "content": "\u044b (\u0441\u0445"}


data: {"type": "result", "content": "\u0438\u0441\u0442\u0435\u043c"}


data: {"type": "result", "content": "\u0443\u0440\u044b \u0441"}


data: {"type": "result", "content": "\u0438\u0442\u0435\u043a\u0442"}


data: {"type": "result", "content": "\u044e \u0430\u0440\u0445"}


data: {"type": "result", "content": "\u043e\u0432\u0430\u043d\u0438"}


data: {"type": "result", "content": "\u0435\u043a\u0442\u0438\u0440"}


data: {"type": "result", "content": "\u0443 \u043f\u0440\u043e"}


data: {"type": "result", "content": "\u0443\u0440\u043d\u043e\u043c"}


